Short name	Accession	TaxId	Name	Path	Assembly file	GFF file	lineage
Trire2	Trire2	431241	Trichoderma reesei v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Trire2	Trichoderma_reeseiV2.AssembledScaffolds.fasta.gz	Trire2_FrozenGeneCatalog20081022_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,hypocreomycetidae,hypocreales,hypocreaceae,trichoderma,trichoderma reesei,trichoderma reesei qm6a"
Necha2	Necha2	660122	Fusarium vanettenii  77-13-4 v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Necha2	Necha2_scaffolds.fasta.gz	Necha2_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,hypocreomycetidae,hypocreales,nectriaceae,fusarium,fusarium solani species complex,fusarium vanettenii,fusarium vanettenii 77-13-4"
Neudi1	Neudi1	510953	Neurospora discreta FGSC 8579 mat A	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Neudi1	Neurospora_discreta.AssemblyScaffolds.fasta.gz	Ndiscreta.FilteredModels2.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,sordariomycetidae,sordariales,sordariaceae,neurospora,neurospora discreta,neurospora discreta fgsc 8579"
Treme1	Treme1	578456	Tremella mesenterica Fries v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/TREMELLOMYCETES/Treme1	Treme1_genomic_scaffolds.fasta.gz	Treme1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,tremellomycetes,tremellales,tremellaceae,tremella,tremella mesenterica,tremella mesenterica dsm 1558"
Crypa2	Crypa2	660469	Cryphonectria parasitica EP155 v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Crypa2	Cryphonectria_parasiticav2.nuclearAssembly.unmasked.gz	Crypa2_FrozenGeneCatalog_20091214_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,sordariomycetidae,diaporthales,cryphonectriaceae,cryphonectria-endothia species complex,cryphonectria,cryphonectria parasitica,cryphonectria parasitica ep155"
Mucci2	Mucci2	36080	Mucor lusitanicus CBS277.49 v2.0	no_rank/MUCOROMYCOTA/MUCOROMYCOTINA/Mucci2	Mucor_circinelloides_v2_scaffolds.fasta.gz	Mucci2_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,fungi incertae sedis,mucoromycota,mucoromycotina,mucoromycetes,mucorales,mucorineae,mucoraceae,mucor,mucor circinelloides"
Phybl2	Phybl2	4837	Phycomyces blakesleeanus NRRL1555 v2.0	no_rank/MUCOROMYCOTA/MUCOROMYCOTINA/Phybl2	Phycomyces_blakesleeanus_v2_scaffolds.fasta.gz	Phybl2_FilteredModels3_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,fungi incertae sedis,mucoromycota,mucoromycotina,mucoromycetes,mucorales,phycomycetaceae,phycomyces,phycomyces blakesleeanus"
Copci1	Copci1	5346	Coprinopsis cinerea	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Copci1	Coprinopsis_cinerea.unmasked.fasta.gz	Coprinopsis_cinerea.genes.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetidae,agaricales,psathyrellaceae,coprinopsis,coprinopsis cinerea"
Cryne_H99_1	Cryne_H99_1	235443	Cryptococcus neoformans var. grubii H99	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/TREMELLOMYCETES/Cryne_H99_1	Cryptococcus_neoformans_H99.unmasked.fasta.gz	Cryptococcus_neoformans_H99.genes.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,tremellomycetes,tremellales,cryptococcaceae,cryptococcus,cryptococcus neoformans species complex,cryptococcus neoformans,cryptococcus neoformans var. grubii,cryptococcus neoformans var. grubii h99"
Malgl1	Malgl1	425265	Malassezia globosa	DIKARYA/BASIDIOMYCOTA/USTILAGINOMYCOTINA/Malgl1	Malassezia_globosa.unmasked.fasta.gz	Malgl1_PGModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,ustilaginomycotina,malasseziomycetes,malasseziales,malasseziaceae,malassezia,malassezia globosa,malassezia globosa cbs 7966"
Neute_mat_a1	Neute_mat_a1	510952	Neurospora tetrasperma FGSC 2509 mat a v1.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Neute_mat_a1	Neurospora_tetrasperma_mata_AssemblyScaffolds.fasta.gz	Neute_mat_a1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,sordariomycetidae,sordariales,sordariaceae,neurospora,neurospora tetrasperma,neurospora tetrasperma fgsc 2509"
SerlaS7_3_2	SerlaS7_3_2	936435	Serpula lacrymans S7.3 v2.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/SerlaS7_3_2	Serpula_lacrymans_S7_3_v2.unmasked.fasta.gz	SerlaS7_3_2_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetidae,boletales,coniophorineae,serpulaceae,serpula,serpula lacrymans,serpula lacrymans var. lacrymans,serpula lacrymans var. lacrymans s7.3"
PleosPC9_1	PleosPC9_1	5322	Pleurotus ostreatus PC9 v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/PleosPC9_1	PleosPC9_1_assembly_scaffolds.fasta.gz	PleosPC9_1_Filteredmodels2_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetidae,agaricales,pleurotaceae,pleurotus,pleurotus ostreatus"
Agabi_varbisH97_2	Agabi_varbisH97_2	936046	Agaricus bisporus var bisporus (H97) v2.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Agabi_varbisH97_2	Abisporus_varbisporusH97.v2_AssembledScaffolds.fasta.gz	Agabi_varbisH97_2_FilteredModels3_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetidae,agaricales,agaricaceae,agaricus,agaricus bisporus,agaricus bisporus var. bisporus,agaricus bisporus var. bisporus h97"
Aspca3	Aspca3	602072	Aspergillus carbonarius ITEM 5010 v3	ASCOMYCOTA/PEZIZOMYCOTINA/EUROTIOMYCETES/Aspca3	Aspca3_scaffolds.fasta.gz	Aspca3_FilteredModels6_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,eurotiomycetes,eurotiomycetidae,eurotiales,aspergillaceae,aspergillus,aspergillus carbonarius,aspergillus carbonarius item 5010"
Agabi_varbur_1	Agabi_varbur_1	597362	Agaricus bisporus var. burnettii JB137-S8	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Agabi_varbur_1	Abisporus_varburnettii.v2.unmasked.fasta.gz	Agabi_varbur_1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetidae,agaricales,agaricaceae,agaricus,agaricus bisporus,agaricus bisporus var. burnettii,agaricus bisporus var. burnettii jb137-s8"
Mycfi2	Mycfi2	1873960	Pseudocercospora (Mycosphaerella) fijiensis v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/DOTHIDEOMYCETES/Mycfi2	Mycosphaerella_fijiensis_v2_AssemblyScaffolds.fasta.gz	Mycfi2_FrozenGeneCatalog_20100402_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,dothideomyceta,dothideomycetes,dothideomycetidae,mycosphaerellales,mycosphaerellaceae,pseudocercospora,pseudocercospora fijiensis"
Triat2	Triat2	452589	Trichoderma atroviride v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Triat2	Trichoderma_atroviride_v2_AssemblyScaffolds.fasta.gz	Triat2_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,hypocreomycetidae,hypocreales,hypocreaceae,trichoderma,trichoderma atroviride,trichoderma atroviride imi 206040"
