##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
1,"Postia placenta MAD 698-R v1.0",Pospl1,104341,90927236,9113,Y,Y,N,,"Martinez D et al.,2009","19193860"
2,"Trichoderma reesei v2.0",Trire2,431241,33454791,9143,Y,Y,N,,"Martinez D et al.,2008","18454138"
3,"Fusarium vanettenii  77-13-4 v2.0",Necha2,660122,51286497,15707,Y,Y,N,,"Coleman JJ et al.,2009","19714214"
4,"Neurospora discreta FGSC 8579 mat A",Neudi1,510953,37302679,9948,Y,N,N,,,
5,"Tremella mesenterica Fries v1.0",Treme1,578456,28639919,8313,Y,Y,N,,"Floudas D et al.,2012","22745431"
6,"Cryphonectria parasitica EP155 v2.0",Crypa2,660469,43870411,11609,Y,Y,N,,"Crouch JA et al.,2020","32207662"
7,"Mucor lusitanicus CBS277.49 v2.0",Mucci2,36080,36587022,11719,Y,Y,N,,"Corrochano LM et al.,2016","27238284"
8,"Phycomyces blakesleeanus NRRL1555 v2.0",Phybl2,4837,53939167,16528,Y,Y,N,,"Corrochano LM et al.,2016","27238284"
9,"Coprinopsis cinerea",Copci1,5346,36294355,13393,Y,Y,N,,"Stajich JE et al.,2010","20547848"
10,"Cryptococcus neoformans var. grubii H99",Cryne_H99_1,235443,18874889,6967,Y,Y,N,,"Janbon G et al.,2014","24743168"
11,"Malassezia globosa",Malgl1,425265,8958118,4286,Y,Y,N,,"Xu J et al.,2007","18000048"
12,"Neurospora tetrasperma FGSC 2509 mat a v1.0",Neute_mat_a1,510952,39126702,11192,Y,Y,N,,"Ellison CE et al.,2011","21750257"
13,"Serpula lacrymans S7.3 v2.0",SerlaS7_3_2,936435,47042600,14495,Y,Y,N,,"Eastwood DC et al.,2011","21764756"
14,"Pleurotus ostreatus PC9 v1.0",PleosPC9_1,5322,35630309,12206,Y,Y,N,,"Alfaro M et al.,2016","27117896"
15,"Agaricus bisporus var bisporus (H97) v2.0",Agabi_varbisH97_2,936046,30233745,10438,Y,Y,N,,"Morin E et al.,2012","23045686"
16,"Aspergillus carbonarius ITEM 5010 v3",Aspca3,602072,36290756,11624,Y,Y,N,,"de Vries RP et al.,2017","28196534"
17,"Agaricus bisporus var. burnettii JB137-S8",Agabi_varbur_1,597362,32614401,11289,Y,Y,N,,"Morin E et al.,2012","23045686"
18,"Pseudocercospora (Mycosphaerella) fijiensis v2.0",Mycfi2,1873960,74141167,13107,Y,Y,N,,"Arango Isaza RE et al.,2016","27512984"
19,"Trichoderma atroviride v2.0",Triat2,452589,36143664,11828,Y,Y,N,,"Kubicek CP et al.,N/D","21501500"
20,"Trichoderma virens Gv29-8 v2.0",TriviGv29_8_2,413071,39022666,12423,Y,Y,N,,"Kubicek CP et al.,N/D","21501500"
21,"Neurospora tetrasperma FGSC 2508 mat A v2.0",Neute_matA2,510952,39146357,10380,Y,Y,N,,"Ellison CE et al.,2011","21750257"
22,"Ceriporiopsis (Gelatoporia) subvermispora B",Cersu1,914234,38969816,12125,Y,Y,N,,"Fernandez-Fueyo E et al.,2012","22434909"
23,"Pleurotus ostreatus PC15 v2.0",PleosPC15_2,1137138,34343005,12330,Y,Y,N,,"Riley R et al.,2014~Castanera R et al.,2016~Alfaro M et al.,2016","24958869 27294409 27117896"
24,"Heterobasidion annosum v2.0",Hetan2,747525,33649967,13383,Y,Y,N,,"Olson A et al.,2012","22463738"
25,"Dothistroma septosporum NZE10 v1.0",Dotse1,64363,30209431,12580,Y,Y,N,,"de Wit PJ et al.,N/D~Ohm RA et al.,N/D","23209441 23236275"
26,"Wallemia mellicola v1.0",Walse1,671144,9815586,5284,Y,Y,N,,"Padamsee M et al.,2012","22326418"
27,"Gloeophyllum trabeum v1.0",Glotr1_1,670483,37181821,11846,Y,Y,N,,"Floudas D et al.,2012","22745431"
28,"Septoria musiva SO2202 v1.0",Sepmu1,692275,29352103,10233,Y,Y,N,,"Ohm RA et al.,N/D~Dhillon B et al.,2015","23236275 25733908"
29,"Ogataea polymorpha NCYC 495 leu1.1 v2.0",Hanpo2,638633,8974850,5177,Y,Y,N,,"Riley R et al.,2016","27535936"
30,"Rhodotorula graminis strain WP1 v1.1",Rhoba1_1,578459,21013998,7283,Y,Y,N,,"Firrincieli A et al.,N/D","26441909"
31,"Wolfiporia cocos MD-104 SS10 v1.0",Wolco1,81056,50483556,12746,Y,Y,N,,"Floudas D et al.,2012","22745431"
32,"Saccharomyces cerevisiae S288C",Sacce1,559292,12070898,6575,Y,Y,N,,"Goffeau A et al.,1996","8849441"
33,"Punctularia strigosozonata v1.0",Punst1,741275,34171901,11538,Y,Y,N,,"Floudas D et al.,2012","22745431"
34,"Stereum hirsutum FP-91666 SS1 v1.0",Stehi1,721885,46511623,14072,Y,Y,N,,"Floudas D et al.,2012","22745431"
35,"Coniophora puteana v1.0",Conpu1,741705,42968544,13761,Y,Y,N,,"Floudas D et al.,2012","22745431"
36,"Dichomitus squalens LYAD-421 SS1 v1.0",Dicsq1,114155,42748430,12290,Y,Y,N,,"Floudas D et al.,2012","22745431"
37,"Trametes versicolor v1.0",Trave1,717944,44794008,14296,Y,Y,N,,"Floudas D et al.,2012","22745431"
38,"Fomitiporia mediterranea v1.0",Fomme1,208960,63354420,11333,Y,Y,N,,"Floudas D et al.,2012","22745431"
39,"Aspergillus aculeatus ATCC16872 v1.1",Aspac1,5053,35424414,10845,Y,Y,N,,"de Vries RP et al.,2017","28196534"
40,"Aspergillus nidulans",Aspnid1,162425,30483994,10680,Y,Y,N,,"Arnaud MB et al.,2012~Galagan JE et al.,2005","22080559 16372000"
41,"Thielavia terrestris v2.0",Thite2,2587410,36912256,9813,Y,Y,N,,"Berka RM et al.,2011","21964414"
42,"Myceliophthora thermophila (Sporotrichum thermophile) v2.0",Spoth2,573729,38744216,9110,Y,Y,N,,"Berka RM et al.,2011","21964414"
43,"Laccaria bicolor v2.0",Lacbi2,980499,60707050,23130,Y,Y,N,,"Martin F et al.,2008","18322534"
44,"Leptosphaeria maculans",Lepmu1,985895,44892605,12469,Y,Y,N,,"Rouxel T et al.,2011","21326234"
45,"Dacryopinax primogenitus DJM 731 SSP1 v1.0",Dacsp1,1858805,29503487,10242,Y,Y,N,,"Floudas D et al.,2012","22745431"
46,"Pyrenophora teres f. teres",Pyrtt1,861557,33583335,11799,Y,Y,N,,"Ellwood SR et al.,N/D","21067574"
47,"Ganoderma sp. 10597 SS1 v1.0",Gansp1,767862,39522573,12910,Y,Y,N,,"Binder M et al.,2013","23935031"
48,"Phlebia brevispora HHB-7030 SS6 v1.0",Phlbr1,194682,49963746,16170,Y,Y,N,,"Binder M et al.,2013","23935031"
49,"Wickerhamomyces anomalus NRRL Y-366-8 v1.0",Wican1,4927,14145566,6423,Y,Y,N,,"Riley R et al.,2016","27535936"
50,"Eurotium rubrum v1.0",Eurhe1,396024,26209327,10076,Y,Y,N,,"Kis-Papo T et al.,2014","24811710"
51,"Pachysolen tannophilus NRRL Y-2460 v1.2",Pacta1_2,4918,12597116,5675,Y,Y,N,,"Riley R et al.,2016","27535936"
52,"Phanerochaete carnosa HHB-10118-Sp v1.0",Phaca1,231932,46293355,13937,Y,Y,N,,"Suzuki H et al.,2012","22937793"
53,"Stagonospora nodorum SN15 v2.0",Stano2,321614,37213987,12380,Y,Y,N,,"Hane JK et al.,2007","18024570"
54,"Verticillium dahliae VdLs.17",Verda1,27337,33828453,10535,Y,Y,N,,"Klosterman SJ et al.,2011","21829347"
55,"Fusarium graminearum v1.0",Fusgr1,5518,36446046,13322,Y,Y,N,,"Cuomo CA et al.,2007","17823352"
56,"Spathaspora passalidarum NRRL Y-27907 v2.0",Spapa3,619300,13182099,5983,Y,Y,N,,"Wohlbach DJ et al.,2011","21788494"
57,"Candida tenuis NRRL Y-1498 v1.0",Cante1,590646,10747050,5533,Y,Y,N,,"Wohlbach DJ et al.,2011","21788494"
