,abr2_abr1_1,abr2_abr1_2,abr2_abr1_3,abr2_abr2_1,abr2_abr2_2,abr2_cladeA,abr2_cladeB,ayg1_1,ayg1_2,ayg1_3,ayg1_cladeA,ayg1_outgroup,ayg1_yg1,pks1_4thn_1,pks1_4thn_2,pks1_athn_1,pks1_athn_2,pks1_ywa1,rdt1_3hnr,rdt1_4hnr_1,rdt1_4hnr_2,rdt1_4hnr_3,rdt1_4hnr_4,rdt1_arp2,rdt1_cladeA,rdt1_cladeB,rdt1_outgroup,rdt1_remaining,scd1_arp1,scd1_cladeA,scd1_cladeB,scd1_cladeC,scd1_outgroup
Melpu1,,,,,"348577,289895",,,,,,,411912,,,357688,,,,333603,,,,359702,,,,,,,,,,
Plesi1,,,,,438493,,,,,,,427542,,,504568,,,,447401,,,,378107,,,,,,,,,,
Claaq1,,,,,,,,,,,,133094,,,135190,,,,135388,,,,130415,,,,,,,,,,
Elsamp1,,,,,43111,,,,,,,228960,,,303875,,,,,,,,"304366,258357",,,204697,,,,,,,
Herpot1_1,,,,,489149,,,,,,,381743,,,532268,,,,89849,,,,534522,,,,,,,,525888,,
Denna1,,,,,169836,,,,297534,,,,,,7918,,,,8051,,,,577436,,,,,,,,,,
Aaoar1,,430320,,,469757,,,,401580,,,,,,345420,,,,461359,,,,348499,,,,,,,,,,
Tryvi1,,,,,526536,,"481337,40692",,,,482481,,,,532527,,,,142370,,,,503769,,,,,,,,,577060,
Clasph1,,,,,,"7173,7176",,,812,,6252,,,,8027,,,,,,,,437,,,8025,,,,,,,
Disac1,,,,,407859,,,,389091,,323582,,,,147297,,,,,,,,387637,,,377570,,,,,,,
Zasce1,,,,66496,16616,,,,67215,,16385,,,,19481,,,,,,,,53509,,,19478,,,,,,,
Seppo1,,,,,,,,,109784,,33584,,,,118889,,,,,,,,33254,,,17865,,,,,,43012,
Sepmu1,,,,,,,,,148802,,149219,,,,159092,,,,,,,,147437,,,53262,,,,,,36082,
Cerzm1,,,,,112619,,92661,,38127,,96589,,,,68161,,,,,,,,93667,,,59406,,,,,,,
Mycfi2,,,28515,,,,,,41774,,28051,,,,216850,,,,,,,,210418,,,145765,,,,,,,
Pseule1,,,,,,,,,,,906069,,,,918470,,,,,,,,912931,,,947343,,,,,,,
Zymar1,,,,,772199,,"773727,773728",,774909,,766285,,,,767193,,,,,,,,770972,,,767191,,,,,,,
Zymbr1,,,,,,,"6287,1548,6288,1547",,8515,,3721,,,,2394,,,,,,,,3003,,,2392,,,,,9223,,
Zymps1,,,,,,,"805279,805278",,802975,,798767,,,,805572,,,,,,,,799679,,,805570,,,,,,,
Mycgr3,,,,,,,"36350,42222,35451,42793",,99683,,100584,,,,96592,,,,,,,,68710,,,87994,,,,,90337,,
Cloaq1,,,,566777,488744,,,,486241,,550157,,,,,,,,604325,,,,486420,,,,,,,,,618770,
Horac1,,,184516,,,,,,258790,,288641,,,,325322,,,,,,,,291159,,,325325,,,,,,,
TerNC1134_1,,,777339,,,,,,519172,,832773,,,,865128,,,,,,,,809476,,,803388,,,,,,,
Bauco1,,,,,,,,,417317,,34760,,,,30707,,,,,,,,32509,,,30716,,,,,,,
Horwer1,,,,,,,,,15517,,"5752,5115",,,,"15141,115",,,,,,,,"1726,11679",,,"113,15143",,,,,,,
Pieho1_1,,,,,,,,,,,258864,,,,273003,,,,,,,,211082,,,158203,,,,,,,
Ternu1,,,,,,,"282655,332107",,280935,,342828,,,,42869,,,,,,,,150373,,,332218,,,,,,,
Aciri1_iso,,,,,,149492,,,156105,,90561,,,,2407,,,,,,,,92841,,,62030,,,,,,,
Aciri1_meta,,,,,,94649,,,90720,,188380,,,,,,,,,,,,190924,,,139194,,,,,,,
Magpo1,,,,,11756,,,,,,9786,,,10304,,,,,3200,10300,,,,,,,,,,,,,
Gaegr1,,,,,2955,,,13831,,,8856,,,415,,,,,12202,422,,,,,,,,,,,,,
Artesp1,,,,,428457,,425515,351438,,,485463,,,220448,,,,,455110,448648,,,,,,,,,,,,,
Apimo1,,,,,42274,,160008,552261,,,204463,,,164916,,,,,191349,34396,,,,,,,,,,,,,
Khuory1,,,,,"492198,118283,498999",,,239394,,,270337,,,540916,,,,,475530,45436,,,,,,,,,,,,,
Truan1,,,,566043,520193,,,528603,,,682510,,,657577,,,,,9432,603312,,,,,,,,,,,,,
CodFL1790_1,,,,,,,,160186,,,660045,,,"787401,295423",,,,,690080,,,,,,,,,,,,,,
Pestal1,,,,,,,518828,,,,157681,,,383529,,,,,27068,556312,,,,,,,,,,,,581714,
Pseve2,,,,,"526459,505746",,464677,43889,,,396739,,,342321,,,,,448406,484727,,,,,,,,,,,,,
