DATASET_EXTERNALSHAPE
SEPARATOR TAB
DATASET_LABEL	Paralogy Architecture
COLOR	#007dfb
FIELD_COLORS	#274e13	#6aa84f	#93c47d	#b6d7a8	#d9ead3	#7f6000	#bf9000	#f1c232	#ffd966	#ffe599	#fff2cc	#741b47	#a64d79	#c27ba0	#d5a6bd	#ead1dc	#073763	#0b5394	#3d85c6	#6fa8dc	#9fc5e8	#cfe2f3	#cfe2f3	#cfe2f3	#cfe2f3	#660000	#990000	#cc0000	#e06666	#ea9999	#f4cccc	#f4cccc
FIELD_LABELS	pks1_4thn_1	pks1_4thn_2	pks1_athn_1	pks1_athn_2	pks1_ywa1	ayg1_1	ayg1_2	ayg1_3	ayg1_cladeA	ayg1_outgroup	ayg1_yg1	scd1_arp1	scd1_cladeA	scd1_cladeB	scd1_cladeC	scd1_outgroup	rdt1_3hnr	rdt1_4hnr_1	rdt1_4hnr_2	rdt1_4hnr_3	rdt1_4hnr_4	rdt1_arp2	rdt1_cladeA	rdt1_cladeB	rdt1_outgroup	rdt1_remaining	abr2_abr1_1	abr2_abr1_2	abr2_abr1_3	abr2_abr2_1	abr2_abr2_2	abr2_cladeA	abr2_cladeB
LEGEND_TITLE	Paralogs
LEGEND_COLORS	#274e13	#6aa84f	#93c47d	#b6d7a8	#d9ead3	#7f6000	#bf9000	#f1c232	#ffd966	#ffe599	#fff2cc	#741b47	#a64d79	#c27ba0	#d5a6bd	#ead1dc	#073763	#0b5394	#3d85c6	#6fa8dc	#9fc5e8	#cfe2f3	#cfe2f3	#cfe2f3	#cfe2f3	#660000	#990000	#cc0000	#e06666	#ea9999	#f4cccc	#f4cccc	#f4cccc
LEGEND_LABELS	pks1_4thn_1	pks1_4thn_2	pks1_athn_1	pks1_athn_2	pks1_ywa1	ayg1_1	ayg1_2	ayg1_3	ayg1_cladeA	ayg1_outgroup	ayg1_yg1	scd1_arp1	scd1_cladeA	scd1_cladeB	scd1_cladeC	scd1_outgroup	rdt1_3hnr	rdt1_4hnr_1	rdt1_4hnr_2	rdt1_4hnr_3	rdt1_4hnr_4	rdt1_arp2	rdt1_cladeA	rdt1_cladeB	rdt1_outgroup	rdt1_remaining	abr2_abr1_1	abr2_abr1_2	abr2_abr1_3	abr2_abr2_1	abr2_abr2_2	abr2_cladeA	abr2_cladeB
LEGEND_SHAPES	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HORIZONTAL_GRID	0
VERTICAL_GRID	-1
MARGIN	0
SHAPE_TYPE	2
SHAPE_SPACING	-30
